Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
191,84450.0000,0.5154,11.1250,46.47,5.68
192,110100.0000,1.0395,14.0000,23.88,6.75
193,107700.0000,1.2960,14.7500,36.93,7.84
194,118800.0000,1.4969,15.7500,27.47,8.47
195,125850.0000,1.2008,16.5000,29.59,6.96
196,88800.0000,1.3325,12.5000,44.98,9.05
197,118650.0000,5.6956,15.3750,8.47,23.04
198,98250.0000,1.4602,13.3750,25.07,9.93
199,110100.0000,2.7326,14.8750,21.63,14.23
200,115050.0000,1.0577,14.7500,33.41,7.05
201,101250.0000,0.3310,13.5000,49.69,3.73
202,120600.0000,8.2858,15.8750,14.48,34.03
203,121650.0000,1.6911,15.8750,24.56,9.25
204,111900.0000,1.8520,14.2500,14.35,11.43
205,111450.0000,1.0074,15.0000,29.12,6.67
206,101700.0000,1.3017,13.5000,31.71,8.80
207,117300.0000,1.5897,15.2500,22.30,9.02
208,111750.0000,1.1184,14.3750,31.25,7.47
209,105300.0000,0.8878,13.5000,25.10,7.30
210,106050.0000,1.6977,14.3750,28.33,10.11
211,108750.0000,0.8877,14.0000,36.76,6.50
212,135300.0000,2.0008,17.8750,13.90,9.62
213,134550.0000,1.7582,16.8750,19.19,9.14
214,110550.0000,0.8950,13.5000,35.22,6.82
215,121950.0000,2.5963,16.7500,15.51,12.33
